Restaurant_Link,Name,Ratings,Cuisine
https://www.grubhub.com/restaurant/ninis-smoothie-bar-227-e-204th-st-bronx/3224723,Nini's Smoothie Bar,21 ratings,Salads
https://www.grubhub.com/restaurant/brews-smash-burgers-316-st-nicholas-ave-new-york/3209875,Brew's Smash Burgers,15 ratings,Hamburger
https://www.grubhub.com/restaurant/the-waffle-spot-dyckman-st-158-dyckman-st-new-york/3039814,The Waffle Spot (Dyckman St),48 ratings,Breakfast
https://www.grubhub.com/restaurant/tal-bagels-1324-lexington-ave-new-york/2809924,tal bagels,246 ratings,Bagel
https://www.grubhub.com/restaurant/italia-moderna-2709-broadway-new-york/7438144,Italia Moderna,NA,Italian
https://www.grubhub.com/restaurant/cafe-bravo-352-9th-avenue-new-york/6734200,Cafe Bravo,4 ratings,Breakfast
https://www.grubhub.com/restaurant/the-gyro-spot-74-10-broadway-queens/3309463,The Gyro Spot,9 ratings,Mediterranean
https://www.grubhub.com/restaurant/bed--breakfast-burrito-co-46-trinity-pl-new-york/7162184,Bed & Breakfast Burrito Co,NA,Breakfast
https://www.grubhub.com/restaurant/baya-bar--rockaway-beach-133-beach-116th-st-rockaway-park/3231280,Baya Bar- Rockaway Beach,34 ratings,Coffee and Tea
https://www.grubhub.com/restaurant/i-got-the-juice-corp-579-main-st-ste-a-new-rochelle/1160099,I Got The Juice Corp,86 ratings,Breakfast
https://www.grubhub.com/restaurant/the-burger-23701-linden-blvd-elmont/6715792,The Burger,NA,Hamburger
https://www.grubhub.com/restaurant/bleeckers-finest-deli-171-bleecker-st-new-york/277403,Bleecker's Finest Deli,885 ratings,Convenience
https://www.grubhub.com/restaurant/sj-grocery--juice-bar-3815-69th-st-woodside/726151,S&J Grocery & Juice Bar,906 ratings,Breakfast
https://www.grubhub.com/restaurant/eggs-for-president-95-delancey-st-new-york/2443015,Eggs For President,18 ratings,Breakfast
https://www.grubhub.com/restaurant/nb-national-bakery-walton-ave-1193-walton-ave-bronx/2648207,NB National Bakery (Walton Ave),71 ratings,Bagel
https://www.grubhub.com/restaurant/chelsea-pantry-405-west-23rd-street-new-york/7038168,Chelsea Pantry,9 ratings,Dinner
