Restaurant_id,Restaurant_Link,Name,Ratings,Cuisine
5430680,https://www.grubhub.com/restaurant/the-best-waffle-company-402-w-34th-st-new-york/5430680,The Best Waffle Company,7 ratings,Breakfast
3135988,https://www.grubhub.com/restaurant/morrone-pastry-shop-2349-arthur-ave-bronx/3135988,morrone pastry shop,13 ratings,Dessert
2847732,https://www.grubhub.com/restaurant/the-sandwich-slut-240-sullivan-st-new-york/2847732,The Sandwich Slut,,sandwich
3309654,https://www.grubhub.com/restaurant/grilled-cheese-ecstatic-755-9th-ave-new-york/3309654,Grilled Cheese Ecstatic,11 ratings,Dessert
6325232,https://www.grubhub.com/restaurant/2020-convenience-store-inc-400-e-161-st-the-bronx/6325232,20/20 Convenience Store Inc,4 ratings,Bodega
2682822,https://www.grubhub.com/restaurant/chateau-shawarma-257-gold-st-brooklyn/2682822,Chateau Shawarma,17 ratings,Mediterranean
2750930,https://www.grubhub.com/restaurant/the-burrito-snob-128-e-4th-st-new-york/2750930,The Burrito Snob,4 ratings,Mexican
3201315,https://www.grubhub.com/restaurant/patriot-wings-30-402-w-34th-st-new-york/3201315,Patriot Wings (30),,American
4485136,https://www.grubhub.com/restaurant/abbys-coffee-shop-7310-20th-ave-brooklyn/4485136,Abby's Coffee Shop,39 ratings,Breakfast
5619000,https://www.grubhub.com/restaurant/canarsie-deli-1214-remsen-ave-brooklyn/5619000,Canarsie Deli,,Hamburger
2419010,https://www.grubhub.com/restaurant/tim-hortons-2115-linden-blvd-elmont/2419010,Tim Hortons,34 ratings,Coffee and Tea
2695902,https://www.grubhub.com/restaurant/victors-coffee-shop-212-61-jamaica-ave-queens-village/2695902,Victor's Coffee Shop,46 ratings,Breakfast
4653384,https://www.grubhub.com/restaurant/bklyn-juice-214-flatbush-avenue-brooklyn/4653384,BKLYN JUICE,7 ratings,American
3255794,https://www.grubhub.com/restaurant/baker-boys-breakfast-sandwiches-5993-broadway-bronx/3255794,Baker Boy's Breakfast Sandwiches,5 ratings,Breakfast
1426218,https://www.grubhub.com/restaurant/late-night-deli-6500-myrtle-ave-glendale/1426218,Late Night Deli,80 ratings,Hamburger
3199782,https://www.grubhub.com/restaurant/famous-french-toast-29-385-6th-ave-new-york/3199782,Famous French Toast (29),4 ratings,Breakfast
2772855,https://www.grubhub.com/restaurant/bosscat-cheesesteaks-1st-ave-1741-1st-ave-new-york/2772855,Bosscat Cheesesteaks (1st Ave),5 ratings,Sandwich
